frame,x,y,score,body_part
123,427,37,0,sx_hand
124,309,120,0,head
124,302,169,0,neck
124,262,169,0,dx_shoulder
124,227,104,0,dx_elbow
124,209,18,0,dx_hand
124,348,167,0,sx_shoulder
124,393,113,0,sx_elbow
124,420,34,0,sx_hand
125,304,120,0,head
125,300,169,0,neck
125,262,172,0,dx_shoulder
125,230,97,0,dx_elbow
125,211,18,0,dx_hand
125,348,167,0,sx_shoulder
125,390,111,0,sx_elbow
125,406,32,0,sx_hand
126,304,120,0,head
126,302,172,0,neck
126,262,174,0,dx_shoulder
126,232,93,0,dx_elbow
126,225,16,0,dx_hand
126,348,167,0,sx_shoulder
126,388,104,0,sx_elbow
126,397,27,0,sx_hand
127,304,120,0,head
127,302,172,0,neck
127,265,174,0,dx_shoulder
127,241,95,0,dx_elbow
127,230,13,0,dx_hand
127,346,167,0,sx_shoulder
127,379,106,0,sx_elbow
127,393,23,0,sx_hand
128,309,120,0,head
128,302,174,0,neck
128,265,174,0,dx_shoulder
128,244,93,0,dx_elbow
128,244,9,0,dx_hand
128,346,172,0,sx_shoulder
128,376,100,0,sx_elbow
128,386,23,0,sx_hand
129,309,120,0,head
129,302,172,0,neck
129,265,174,0,dx_shoulder
129,246,93,0,dx_elbow
129,248,16,0,dx_hand
129,344,167,0,sx_shoulder
129,374,97,0,sx_elbow
129,374,18,0,sx_hand
130,309,123,0,head
130,302,169,0,neck
130,265,172,0,dx_shoulder
130,248,93,0,dx_elbow
130,262,18,0,dx_hand
130,344,167,0,sx_shoulder
130,372,102,0,sx_elbow
130,369,20,0,sx_hand
131,311,120,0,head
131,302,169,0,neck
131,265,172,0,dx_shoulder
131,255,93,0,dx_elbow
131,265,18,0,dx_hand
131,344,167,0,sx_shoulder
131,369,95,0,sx_elbow
131,358,18,0,sx_hand
132,306,120,0,head
132,300,169,0,neck
132,262,172,0,dx_shoulder
132,255,93,0,dx_elbow
132,267,18,0,dx_hand
132,341,167,0,sx_shoulder
132,365,95,0,sx_elbow
132,353,18,0,sx_hand
133,304,118,0,head
133,300,167,0,neck
133,262,167,0,dx_shoulder
133,260,93,0,dx_elbow
133,281,11,0,dx_hand
133,339,165,0,sx_shoulder
133,358,95,0,sx_elbow
133,339,18,0,sx_hand
134,306,118,0,head
134,300,167,0,neck
134,262,167,0,dx_shoulder
134,262,93,0,dx_elbow
134,283,11,0,dx_hand
134,339,165,0,sx_shoulder
134,358,95,0,sx_elbow
134,337,18,0,sx_hand
135,306,116,0,head
135,300,165,0,neck
135,262,165,0,dx_shoulder
135,262,90,0,dx_elbow
135,288,13,0,dx_hand
135,339,165,0,sx_shoulder
135,355,93,0,sx_elbow
135,334,16,0,sx_hand
136,304,116,0,head
136,302,162,0,neck
136,265,165,0,dx_shoulder
136,265,90,0,dx_elbow
136,293,16,0,dx_hand
136,339,162,0,sx_shoulder
136,355,93,0,sx_elbow
136,332,16,0,sx_hand
137,304,116,0,head
137,300,165,0,neck
137,262,165,0,dx_shoulder
137,265,90,0,dx_elbow
137,295,16,0,dx_hand
137,337,165,0,sx_shoulder
137,353,93,0,sx_elbow
137,327,16,0,sx_hand
138,304,116,0,head
138,300,165,0,neck
138,262,165,0,dx_shoulder
138,265,90,0,dx_elbow
138,295,16,0,dx_hand
138,337,165,0,sx_shoulder
138,353,90,0,sx_elbow
138,323,16,0,sx_hand
139,304,116,0,head
139,300,165,0,neck
139,262,167,0,dx_shoulder
139,265,90,0,dx_elbow
139,295,16,0,dx_hand
139,339,165,0,sx_shoulder
139,353,90,0,sx_elbow
139,323,16,0,sx_hand
140,304,116,0,head
140,302,165,0,neck
140,262,167,0,dx_shoulder
140,265,88,0,dx_elbow
140,295,13,0,dx_hand
140,339,165,0,sx_shoulder
140,353,90,0,sx_elbow
140,327,18,0,sx_hand
141,304,116,0,head
141,300,165,0,neck
141,262,167,0,dx_shoulder
141,265,90,0,dx_elbow
141,295,13,0,dx_hand
141,339,165,0,sx_shoulder
141,353,90,0,sx_elbow
141,327,16,0,sx_hand
142,304,116,0,head
142,300,165,0,neck
